,Location,PopTotal,PopDensity
0,Afghanistan,38928000.0,59.626999999999995
1,Africa,1340598000.0,45.216
2,African Group,1338827000.0,45.571000000000005
3,African Union,1339424000.0,45.181999999999995
4,African Union: Central Africa,158620000.0,30.066
5,African Union: Eastern Africa,392564000.0,61.403999999999996
6,African Union: Northern Africa,207033000.0,29.429000000000002
7,African Union: Southern Africa,184002000.0,31.143
8,African Union: Western Africa,397206000.0,78.921
9,"African, Caribbean and Pacific (ACP) Group of States",1179680000.0,48.849
10,Albania,2878000.0,105.029
11,Algeria,43851000.0,18.410999999999998
12,American Samoa,55000.0,275.985
13,Andean Community,113171000.0,30.413
14,Andorra,77000.0,164.394
15,Angola,32866000.0,26.363000000000003
16,Anguilla,15000.0,166.68900000000002
17,Antigua and Barbuda,98000.0,222.56400000000002
18,Argentina,45196000.0,16.515
19,Armenia,2963000.0,104.083
20,Aruba,107000.0,593.144
21,Asia,4641055000.0,149.55200000000002
22,Asia-Pacific Economic Cooperation (APEC),2972249000.0,49.426
23,Asia-Pacific Group,4621682000.0,147.46
24,Association of Southeast Asian Nations (ASEAN),667301000.0,154.26
25,Australia,25500000.0,3.319
26,Australia/New Zealand,30322000.0,3.8160000000000003
27,Austria,9006000.0,109.289
28,Azerbaijan,10139000.0,122.664
29,BRIC,3177822000.0,85.664
30,BRICS,3237131000.0,84.499
31,Bahamas,393000.0,39.286
32,Bahrain,1702000.0,2238.925
33,Bangladesh,164689000.0,1265.187
34,Barbados,287000.0,668.305
35,Belarus,9449000.0,46.568999999999996
36,Belgium,11590000.0,382.74800000000005
37,Belize,398000.0,17.432000000000002
38,Belt-Road Initiative (BRI),3403062000.0,50.461000000000006
39,Belt-Road Initiative: Africa,1192660000.0,49.226000000000006
40,Belt-Road Initiative: Asia,1572526000.0,91.609
41,Belt-Road Initiative: Europe,413895000.0,21.669
42,Belt-Road Initiative: Latin America and the Caribbean,208570000.0,33.676
43,Belt-Road Initiative: Pacific,15411000.0,20.51
44,Benin,12123000.0,107.51299999999999
45,Bermuda,62000.0,1245.46
46,Bhutan,772000.0,20.243
47,Black Sea Economic Cooperation (BSEC),343357000.0,18.538
48,Bolivarian Alliance for the Americas (ALBA),58690000.0,26.739
49,Bolivia,11673000.0,10.775
50,"Bonaire, Sint Eustatius and Saba",26000.0,79.942
51,Bosnia and Herzegovina,3281000.0,64.33
52,Botswana,2352000.0,4.149
53,Brazil,212559000.0,25.430999999999997
54,British Virgin Islands,30000.0,201.58
55,Brunei,437000.0,83.014
56,Bulgaria,6948000.0,64.006
57,Burkina Faso,20903000.0,76.40100000000001
58,Burundi,11891000.0,463.037
59,Cabo Verde,556000.0,137.96200000000002
60,Cambodia,16719000.0,94.714
61,Cameroon,26546000.0,56.157
62,Canada,37742000.0,4.15
63,Caribbean,43532000.0,192.613
64,Caribbean Community and Common Market (CARICOM),18850000.0,43.582
65,Cayman Islands,66000.0,273.83299999999997
66,Central African Republic,4830000.0,7.752999999999999
67,Central America,179670000.0,73.267
68,Central Asia,74339000.0,18.930999999999997
69,Central European Free Trade Agreement (CEFTA),25747000.0,87.771
70,Central and Southern Asia,2014709000.0,195.093
71,Chad,16426000.0,13.045
72,Channel Islands,174000.0,915.047
73,Chile,19116000.0,25.71
74,China,1439324000.0,153.312
75,China (and dependencies),1471287000.0,156.11
76,"China, Hong Kong SAR",7497000.0,7139.9890000000005
77,"China, Macao SAR",649000.0,21717.124
78,"China, Taiwan Province of China",23817000.0,672.6
79,Colombia,50883000.0,45.861000000000004
80,Commonwealth of Independent States (CIS),290593000.0,13.687999999999999
81,Commonwealth of Nations,2565386000.0,85.58
82,Commonwealth: Africa,583994000.0,76.34
83,Commonwealth: Asia,1825653000.0,427.406
84,Commonwealth: Caribbean and Americas,44598000.0,4.774
85,Commonwealth: Europe,69535000.0,276.492
86,Commonwealth: Pacific,41606000.0,4.917
87,Comoros,870000.0,467.273
88,Congo,5518000.0,16.158
89,Cook Islands,18000.0,73.183
90,Costa Rica,5094000.0,99.76700000000001
91,Countries with Access to the Sea,7199203000.0,63.751999999999995
92,Countries with Access to the Sea: Africa,999210000.0,46.898
93,Countries with Access to the Sea: Asia,4474223000.0,183.546
94,Countries with Access to the Sea: Europe,679067000.0,31.665
95,Countries with Access to the Sea: Latin America and the Caribbean,635157000.0,34.041
96,Countries with Access to the Sea: Northern America,368870000.0,19.777
97,Countries with Access to the Sea: Oceania,42678000.0,5.029
98,Croatia,4105000.0,73.361
99,Cuba,11327000.0,106.413
100,Curaçao,164000.0,369.595
101,Cyprus,1207000.0,130.667
102,Czechia,10709000.0,138.64600000000002
103,Côte d'Ivoire,26378000.0,82.95100000000001
104,Dem. People's Republic of Korea,25779000.0,214.092
105,Democratic Republic of the Congo,89561000.0,39.506
106,Denmark,5792000.0,136.512
107,Denmark (and dependencies),5898000.0,12.982999999999999
108,Djibouti,988000.0,42.623000000000005
109,Dominica,72000.0,95.988
110,Dominican Republic,10848000.0,224.50099999999998
111,ECE: North America-2,368745000.0,20.215
112,ECE: UNECE-52,1301482000.0,28.741999999999997
113,ECLAC: Latin America,641934000.0,32.709
114,ECLAC: The Caribbean,12025000.0,23.975
115,ESCAP region: East and North-East Asia,1654273000.0,143.537
116,ESCAP region: North and Central Asia,237365000.0,11.588
117,ESCAP region: Pacific,42665000.0,5.0280000000000005
118,ESCAP region: South and South-West Asia,2024709000.0,282.39599999999996
119,ESCAP region: South-East Asia,668620000.0,154.035
120,ESCAP: ADB Developing member countries (DMCs),4064235000.0,164.725
121,ESCAP: ADB Group A (Concessional assistance only),165458000.0,72.81
122,ESCAP: ADB Group B (OCR blend),1812617000.0,286.743
123,ESCAP: ADB Group C (Regular OCR only),2086160000.0,129.745
124,ESCAP: ASEAN,667301000.0,154.26
125,ESCAP: Central Asia,91431000.0,22.26
126,ESCAP: ECO,512631000.0,65.459
127,ESCAP: HDI groups,4627632000.0,88.98200000000001
128,ESCAP: Landlocked countries (LLDCs),166832000.0,25.063000000000002
129,ESCAP: Least Developed Countries (LDCs),314374000.0,151.069
130,ESCAP: Pacific island dev. econ.,12343000.0,22.828000000000003
131,ESCAP: SAARC,1856377000.0,389.04900000000004
132,ESCAP: WB High income econ.,223305000.0,26.465999999999998
133,ESCAP: WB Low income econ.,93844000.0,102.38
134,ESCAP: WB Lower middle income econ.,2414189000.0,234.213
135,ESCAP: WB Upper middle income econ.,1896274000.0,58.628
136,ESCAP: WB income groups,4627612000.0,88.98299999999999
137,ESCAP: high HDI,222728000.0,26.467
138,ESCAP: high income,222956000.0,26.438000000000002
139,ESCAP: income groups,4627632000.0,88.98200000000001
140,ESCAP: low HDI,1933859000.0,301.29200000000003
141,ESCAP: low income,2096735000.0,280.88599999999997
142,ESCAP: lower middle HDI,2069716000.0,136.755
143,ESCAP: lower middle income,586218000.0,89.64200000000001
144,ESCAP: other Asia-Pacific countries/areas,200828000.0,51.745
145,ESCAP: upper middle HDI,401329000.0,18.211
146,ESCAP: upper middle income,1721722000.0,58.228
147,ESCWA: Arab countries,436379000.0,33.541
148,ESCWA: Arab least developed countries,96076000.0,24.163
149,ESCWA: Gulf Cooperation Council countries,58664000.0,22.8
