year,coal,natural gas,nuclear,renewables,oil,total,ratio_caol,ratio_natural_gas,ratio_nuclear,ratio_renewables,ratio_oil
1950,155,45,0,101,34,335,46.27,13.43,0.0,30.15,10.15
1951,185,57,0,105,29,376,49.2,15.16,0.0,27.93,7.71
1952,195,68,0,110,30,403,48.39,16.87,0.0,27.3,7.44
1953,219,80,0,110,38,447,48.99,17.9,0.0,24.61,8.5
1954,239,94,0,112,32,477,50.1,19.71,0.0,23.48,6.71
1955,301,95,0,117,37,550,54.73,17.27,0.0,21.27,6.73
1956,339,104,0,125,36,604,56.13,17.22,0.0,20.7,5.96
1957,346,114,0,134,40,634,54.57,17.98,0.0,21.14,6.31
1958,344,120,0,144,40,648,53.09,18.52,0.0,22.22,6.17
1959,378,147,0,141,47,713,53.02,20.62,0.0,19.78,6.59
1960,403,158,1,150,48,760,53.03,20.79,0.13,19.74,6.32
1961,422,169,2,156,49,798,52.88,21.18,0.25,19.55,6.14
1962,450,184,2,172,49,857,52.51,21.47,0.23,20.07,5.72
1963,494,202,3,169,52,920,53.7,21.96,0.33,18.37,5.65
1964,526,220,3,181,57,987,53.29,22.29,0.3,18.34,5.78
1965,571,222,4,197,65,1059,53.92,20.96,0.38,18.6,6.14
1966,613,251,6,198,79,1147,53.44,21.88,0.52,17.26,6.89
1967,630,265,8,226,89,1218,51.72,21.76,0.66,18.56,7.31
1968,685,304,13,227,104,1333,51.39,22.81,0.98,17.03,7.8
1969,706,333,14,254,138,1445,48.86,23.04,0.97,17.58,9.55
1970,704,373,22,252,184,1535,45.86,24.3,1.43,16.42,11.99
1971,713,374,38,270,220,1615,44.15,23.16,2.35,16.72,13.62
1972,771,376,54,278,274,1753,43.98,21.45,3.08,15.86,15.63
1973,848,341,83,278,314,1864,45.49,18.29,4.45,14.91,16.85
1974,828,320,114,307,301,1870,44.28,17.11,6.1,16.42,16.1
1975,853,300,173,307,289,1922,44.38,15.61,9.0,15.97,15.04
1976,944,295,191,291,320,2041,46.25,14.45,9.36,14.26,15.68
1977,985,306,251,228,358,2128,46.29,14.38,11.8,10.71,16.82
1978,976,305,276,287,365,2209,44.18,13.81,12.49,12.99,16.52
1979,1075,329,255,287,304,2250,47.78,14.62,11.33,12.76,13.51
1980,1162,346,251,285,246,2290,50.74,15.11,10.96,12.45,10.74
1981,1203,346,273,270,206,2298,52.35,15.06,11.88,11.75,8.96
1982,1192,305,283,318,147,2245,53.1,13.59,12.61,14.16,6.55
1983,1259,274,294,342,144,2313,54.43,11.85,12.71,14.79,6.23
1984,1342,297,328,333,120,2420,55.45,12.27,13.55,13.76,4.96
1985,1402,292,384,295,100,2473,56.69,11.81,15.53,11.93,4.04
1986,1386,249,414,306,137,2492,55.62,9.99,16.61,12.28,5.5
1987,1464,273,455,265,118,2575,56.85,10.6,17.67,10.29,4.58
1988,1541,253,527,238,149,2708,56.91,9.34,19.46,8.79,5.5
1989,1584,353,529,325,176,2967,53.39,11.9,17.83,10.95,5.93
1990,1594,373,577,357,137,3038,52.47,12.28,18.99,11.75,4.51
1991,1591,382,613,358,131,3075,51.74,12.42,19.93,11.64,4.26
1992,1621,404,619,327,113,3084,52.56,13.1,20.07,10.6,3.66
1993,1690,415,610,357,125,3197,52.86,12.98,19.08,11.17,3.91
1994,1691,460,640,337,120,3248,52.06,14.16,19.7,10.38,3.69
1995,1709,496,673,385,90,3353,50.97,14.79,20.07,11.48,2.68
1996,1795,455,675,423,96,3444,52.12,13.21,19.6,12.28,2.79
1997,1845,479,629,434,105,3492,52.84,13.72,18.01,12.43,3.01
1998,1874,531,674,400,141,3620,51.77,14.67,18.62,11.05,3.9
1999,1881,556,728,399,130,3694,50.92,15.05,19.71,10.8,3.52
2000,1966,601,754,356,124,3801,51.72,15.81,19.84,9.37,3.26
2001,1904,639,769,288,137,3737,50.95,17.1,20.58,7.71,3.67
2002,1933,691,780,343,111,3858,50.1,17.91,20.22,8.89,2.88
2003,1974,650,764,355,141,3884,50.82,16.74,19.67,9.14,3.63
2004,1978,710,789,351,142,3970,49.82,17.88,19.87,8.84,3.58
2005,2013,761,782,358,142,4056,49.63,18.76,19.28,8.83,3.5
2006,1991,816,787,386,85,4065,48.98,20.07,19.36,9.5,2.09
2007,2016,897,806,353,85,4157,48.5,21.58,19.39,8.49,2.04
2008,1986,883,806,381,63,4119,48.22,21.44,19.57,9.25,1.53
2009,1756,921,799,418,57,3951,44.44,23.31,20.22,10.58,1.44
2010,1847,988,807,427,56,4125,44.78,23.95,19.56,10.35,1.36
2011,1733,1014,790,513,49,4099,42.28,24.74,19.27,12.52,1.2
2012,1514,1226,769,495,44,4048,37.4,30.29,19.0,12.23,1.09
2013,1581,1125,789,522,49,4066,38.88,27.67,19.4,12.84,1.21
2014,1582,1127,797,539,50,4095,38.63,27.52,19.46,13.16,1.22
2015,1352,1333,797,544,50,4076,33.17,32.7,19.55,13.35,1.23
2016,1239,1378,806,609,44,4076,30.4,33.81,19.77,14.94,1.08
2017,1206,1296,805,687,40,4034,29.9,32.13,19.96,17.03,0.99
2018,1149,1469,807,707,46,4178,27.5,35.16,19.32,16.92,1.1
2019,965,1586,809,728,39,4127,23.38,38.43,19.6,17.64,0.94
2020,774,1617,790,792,36,4009,19.31,40.33,19.71,19.76,0.9
