Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,Category
2011,1,46305000.0,12668763.0,58973763.0,Passengers
2011,2,43657818.0,10944610.0,54602428.0,Passengers
2011,3,55649428.0,13473705.0,69123133.0,Passengers
2011,4,52858479.0,13537152.0,66395631.0,Passengers
2011,5,55982234.0,13935132.0,69917366.0,Passengers
2011,6,57778699.0,14814672.0,72593371.0,Passengers
2011,7,60310568.0,16623674.0,76934242.0,Passengers
2011,8,57403835.0,15753438.0,73157273.0,Passengers
2011,9,50982170.0,13220884.0,64203054.0,Passengers
2011,10,54124363.0,13199913.0,67324276.0,Passengers
2011,11,51660083.0,12156133.0,63816216.0,Passengers
2011,12,51534990.0,13559050.0,65094040.0,Passengers
2012,1,47080840.0,13206801.0,60287641.0,Passengers
2012,2,46405385.0,11732944.0,58138329.0,Passengers
2012,3,56200391.0,14387677.0,70588068.0,Passengers
2012,4,53691570.0,13995377.0,67686947.0,Passengers
2012,5,55749349.0,14291285.0,70040634.0,Passengers
2012,6,57903293.0,15582335.0,73485628.0,Passengers
2012,7,59688267.0,16969590.0,76657857.0,Passengers
2012,8,58646304.0,16616643.0,75262947.0,Passengers
2012,9,50134504.0,13791714.0,63926218.0,Passengers
2012,10,53779646.0,13397785.0,67177431.0,Passengers
2012,11,51844482.0,12763847.0,64608329.0,Passengers
2012,12,51165451.0,14097885.0,65263336.0,Passengers
2013,1,47816859.0,13768819.0,61585678.0,Passengers
2013,2,45740158.0,12037584.0,57777742.0,Passengers
2013,3,56564538.0,15188333.0,71752871.0,Passengers
2013,4,53228575.0,14301619.0,67530194.0,Passengers
2013,5,56562929.0,15353665.0,71916594.0,Passengers
2013,6,57990789.0,16403199.0,74393988.0,Passengers
2013,7,59310478.0,17748869.0,77059347.0,Passengers
2013,8,58115405.0,17666442.0,75781847.0,Passengers
2013,9,50766098.0,14368204.0,65134302.0,Passengers
2013,10,54706246.0,14341721.0,69047967.0,Passengers
2013,11,50542543.0,13260466.0,63803009.0,Passengers
2013,12,54332936.0,15205588.0,69538524.0,Passengers
2014,1,47957371.0,14692606.0,62649977.0,Passengers
2014,2,45513184.0,12482600.0,57995784.0,Passengers
2014,3,57762170.0,15604456.0,73366626.0,Passengers
2014,4,55247482.0,15471267.0,70718749.0,Passengers
2014,5,57888637.0,16338378.0,74227015.0,Passengers
2014,6,59262095.0,17361717.0,76623812.0,Passengers
2014,7,61757698.0,18784523.0,80542221.0,Passengers
